"",PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22
b.cells1147,1.12034019239676,5.39357703256551,9.26470954849425,-2.88222412887139,1.11989072092802,-2.64196433217388,1.12420002576458,0.256478738088644,-0.180423393534134,-0.580547507119122,0.442742882708459,-1.13820783888855,-0.751210642879274,-1.61797978139262,-1.05392451558007,0.999856122828026,-0.657719710786615,0.529775008123636,1.28019898994976,0.243580163571633,0.970257942835877,-0.384037090170225
b.cells6276,1.26509424740501,5.18975970071423,9.75311143916153,-3.37105623184618,0.00788166529740135,-2.65129080963924,3.75970700181074,-1.30368495726244,1.02734534898308,-1.69262213508036,0.457592845592184,-1.24329081749564,-0.803078757935948,-0.86481439765415,0.985788136523072,1.22783270993659,0.148197070427126,-0.286728681493838,0.905402557976596,2.0864931992502,-1.0465356329733,0.382685081537034
b.cells6144,1.92530395527481,4.80005028088914,10.1665772597721,-1.61948703888726,-0.362947352181399,-0.35228451691067,0.323767369805474,0.307633647549904,-0.252424299172298,0.0363956535695277,0.376309467999976,-0.698347057345941,0.90645108570706,-2.26959620447973,0.652095852454709,-1.01100655891518,-0.351770182667361,-1.33791927927346,-2.70956684161699,-0.495267929865877,0.70216298395303,-2.25336344884781
b.cells6285,0.841711850131285,5.23552307148993,9.61977908320935,-2.9171468769565,-0.151037647618307,-1.74400486418998,0.323368671864089,-1.78733203491635,0.480143319019659,1.93221551931482,-0.326836466355958,0.242557614882448,-1.71058010672634,-2.73070106342734,0.582842117987777,0.579444760212023,-0.882101699969042,-0.517304476802952,2.70990648946685,-0.511661319522843,0.0551223465196449,0.848809227068336
b.cells8679,0.498107493010315,5.86635678012477,8.27886024340855,-4.67683405331822,0.171634320593755,-2.9299246651663,1.91948096036168,-1.46838255890454,0.999624475432345,-4.04081066864932,0.91191237688827,-0.444857402229451,-0.0441292061108479,1.13404756579863,-0.469442002685721,-0.00831034658668317,2.16835271964681,-1.73230860295138,1.83239795680403,0.459514814668913,0.190701639055422,-0.0449027488306334
b.cells6455,-0.393290118182182,4.22384321400137,8.08609801836027,-2.85022605242452,-0.27231450477894,0.42884325494405,1.193113868593,0.501581396847379,0.575400164992682,-1.27023676517217,0.952011464237105,-0.756031180027398,-0.261674914868899,-1.39241411622923,0.109106521026902,-1.24951094345107,1.48333298739519,1.94740576096034,0.015194381125393,0.374818129722407,0.678384745041533,0.363315105373296
b.cells96,2.87053534307591,5.87899949582949,11.1385435040272,-2.05562401485799,-0.0756567244394127,-2.71708517051793,2.41648539968268,-1.98084876327384,1.17898501182434,0.151619406496545,-0.342428683657516,-0.386734673295281,-0.126739305897223,-0.0630296442305263,0.779756375080378,1.74476863646162,-2.11951411190923,-1.58689185840956,1.93479734305023,-3.12939184730845,-0.914929117156366,-1.50394329024886
b.cells2344,0.952641394575104,4.48707919558212,6.63551897234066,-2.90921538029366,0.332956080127095,-4.55107495055877,1.446153671055,-2.00073833085756,2.65263946400348,-2.01204381923266,-0.374776538908946,-1.52720986494742,1.07713626755889,1.04468742075833,0.592073635672063,-0.16038894818631,-0.706645987702682,0.587273668204206,0.031542713088285,-1.12601454985741,-0.697794248468269,-0.379293198510529
b.cells6713,0.533401679613565,5.258568246404,8.18592735662415,-3.15934478548233,0.962757371267745,-2.19281625479563,0.687059124358759,-1.05458983039884,0.234200633978512,0.932392165365951,1.1943047726503,0.42014551514584,-0.516304259024113,0.155887355652922,-0.58703598259682,0.853080092866662,-0.0899470093594151,0.767218546241396,2.41137039716337,0.176392145609737,0.267294017428059,0.830163668350459
b.cells5182,0.987358554940164,5.05018248540643,9.75552600001826,-3.01827081040113,-0.675236231904072,-2.88554815699444,2.75619998840583,-1.3629594308091,0.536839321228377,-1.36102078874829,0.28848997010244,-0.0160860683896347,1.90005681343582,-2.71294479522085,0.560869438827528,2.6140403074676,-0.266803505676777,-1.70535327767802,0.0971224511092621,0.147520327723599,1.0996176441993,0.962487162834
b.cells6988,0.584785879127015,5.28964801213855,10.0245758957032,-0.52396677778482,0.581363396711172,-0.608551297095833,1.7095378358707,-1.19132838657943,-0.0936008258332687,0.0295968937182976,-0.118071380172699,-2.71061552692266,0.28222493416138,0.780573353697442,0.885310597505154,-0.724308927658998,-0.308716594047546,1.07845502591385,-0.913698278872853,1.31870382401339,-0.0618320701908061,-3.8510089100143
b.cells5491,-0.0275077798258071,5.1061558609416,9.92189627215051,0.455702245688849,-3.58985776545734,4.78485956622791,-5.04001043249289,3.25912514614827,-3.67519992642004,-2.25537747908016,-0.744983768925254,1.33652732981115,4.68838398986406,6.33752124193669,-1.3974378307505,-1.09253461011579,-1.43786952134592,0.232143110749978,-1.33828965780422,-0.26164251064138,-0.208754568131905,1.80215698051879
